page_state,changed_pixel_ratio,mean_channel_delta,accepted
chapter_studio--ink_amethyst--loaded--1440x900,0.8663,0.0707,False
chapter_studio--ink_jade--loaded--1440x900,0.8677,0.0712,False
chapter_studio--narrative_ember--chapter-checkpoint--1440x900,0.8673,0.0758,False
chapter_studio--narrative_ember--chapter-checkpoint-dialog--1440x900,0.8156,0.073,False
chapter_studio--narrative_ember--chapter-running--1440x900,0.8669,0.0758,False
chapter_studio--narrative_ember--loaded--1440x900,0.8649,0.0691,False
chapter_studio--stillwater--loaded--1440x900,0.858,0.0688,False
chapter_studio--twilight_ink--loaded--1440x900,0.8239,0.0388,False
dashboard--ink_amethyst--loaded--1440x900,0.8418,0.0603,False
dashboard--ink_jade--loaded--1440x900,0.8496,0.062,False
dashboard--narrative_ember--loaded--1440x900,0.8389,0.0626,False
dashboard--stillwater--loaded--1440x900,0.8256,0.0592,False
dashboard--twilight_ink--loaded--1440x900,0.7896,0.029,False
projects--narrative_ember--loaded--1440x900,0.5055,0.0413,False
settings--ink_amethyst--loaded--1440x900,0.8067,0.0698,False
settings--ink_jade--loaded--1440x900,0.8118,0.0722,False
settings--narrative_ember--loaded--1440x900,0.8003,0.0709,False
settings--narrative_ember--section-creative-temperature--1440x900,0.5273,0.0576,False
settings--narrative_ember--section-model-routing--1440x900,0.8609,0.0675,False
settings--stillwater--loaded--1440x900,0.8029,0.0688,False
settings--twilight_ink--loaded--1440x900,0.7465,0.035,False
voice_studio--ink_amethyst--loaded--1440x900,0.8616,0.0576,False
voice_studio--ink_jade--loaded--1440x900,0.8598,0.0598,False
voice_studio--narrative_ember--loaded--1440x900,0.8566,0.0596,False
voice_studio--narrative_ember--voice-configured-team--1440x900,0.861,0.0748,False
voice_studio--stillwater--loaded--1440x900,0.85,0.0568,False
voice_studio--twilight_ink--loaded--1440x900,0.8151,0.0262,False
workflow--ink_amethyst--loaded--1440x900,0.7557,0.0655,False
workflow--ink_jade--loaded--1440x900,0.765,0.067,False
workflow--narrative_ember--loaded--1440x900,0.7726,0.0672,False
workflow--narrative_ember--workflow-running--1440x900,0.7735,0.0675,False
workflow--stillwater--loaded--1440x900,0.7667,0.0648,False
workflow--twilight_ink--loaded--1440x900,0.719,0.0342,False
